identifier,y_sim,y_exp,smiles,fold
CHEMBL2006276,-8.25283,CHEMBL2006276,1000.0,1
CHEMBL1989136,-8.86226,CHEMBL1989136,1000.0,1
CHEMBL1993166,-4.13538,CHEMBL1993166,1000.0,3
CHEMBL1969664,-8.77533,CHEMBL1969664,1000.0,1
CHEMBL1990541,-7.72502,CHEMBL1990541,1000.0,2
CHEMBL1977814,-7.2455,CHEMBL1977814,1000.0,0
CHEMBL1994538,-8.79202,CHEMBL1994538,1000.0,3
CHEMBL1682360,-9.37145,CHEMBL1682360,1000.0,4
CHEMBL1996791,-6.92862,CHEMBL1996791,1000.0,3
CHEMBL1966069,-9.87678,CHEMBL1966069,1000.0,0
CHEMBL1996447,-7.69688,CHEMBL1996447,1000.0,0
CHEMBL1085626,-9.08688,CHEMBL1085626,1039.0,3
CHEMBL470780,-8.25906,CHEMBL470780,1100.0,0
CHEMBL570367,-10.70679,CHEMBL570367,1100.0,4
CHEMBL2064562,-9.03081,CHEMBL2064562,1160.0,1
CHEMBL297447,-7.80844,CHEMBL297447,1200.0,2
CHEMBL3401987,-9.5334,CHEMBL3401987,1200.0,4
CHEMBL269881,-7.90839,CHEMBL269881,1200.0,2
CHEMBL1998470,-8.36368,CHEMBL1998470,1258.93,0
CHEMBL41783,-8.27389,CHEMBL41783,1258.93,2
CHEMBL1992937,-9.46152,CHEMBL1992937,1258.93,3
CHEMBL1971951,-7.75296,CHEMBL1971951,1258.93,0
CHEMBL210032,-7.35067,CHEMBL210032,1258.93,0
CHEMBL1968705,-10.09987,CHEMBL1968705,1258.93,2
CHEMBL1966425,-9.80129,CHEMBL1966425,1258.93,4
CHEMBL1988608,-9.31085,CHEMBL1988608,1258.93,1
CHEMBL1975138,-9.06969,CHEMBL1975138,1258.93,4
CHEMBL2002407,-6.61424,CHEMBL2002407,1258.93,4
CHEMBL1976134,-8.51298,CHEMBL1976134,1258.93,0
CHEMBL1993648,-7.72511,CHEMBL1993648,1258.93,0
CHEMBL1969042,-9.62679,CHEMBL1969042,1258.93,4
CHEMBL1682552,-8.6557,CHEMBL1682552,1258.93,1
CHEMBL1682540,-8.29822,CHEMBL1682540,1258.93,4
CHEMBL1965702,-9.03902,CHEMBL1965702,1258.93,1
CHEMBL187287,-9.9772,CHEMBL187287,1260.0,0
CHEMBL303958,-7.35075,CHEMBL303958,1300.0,0
CHEMBL5174075,-9.22005,CHEMBL5174075,1310.0,3
CHEMBL5207329,-9.30856,CHEMBL5207329,1400.0,1
CHEMBL485730,-8.91918,CHEMBL485730,1500.0,0
CHEMBL485731,-9.06478,CHEMBL485731,1500.0,0
CHEMBL2000104,-8.02647,CHEMBL2000104,1584.89,3
