identifier,y_sim,y_exp,smiles,fold
CHEMBL62919,-10.68285,0.13,Fc1ccc(cc1)C(=O)C1CCN(CCn2c(=S)[nH]c3ccccc3c2=O)CC1,0
CHEMBL3896937,-10.36413,0.14,O=C(N[C@H]1CC[C@H](CCN2CCN(CC2)c2nsc3ccccc23)CC1)Nc1cccnc1,4
CHEMBL90837,-8.91217,0.14,CCN(C)CCc1c([nH]c2ccccc12)-c1cccc(c1)[N+]([O-])=O,3
CHEMBL91549,-9.15653,0.14,CCN(C)CCc1c([nH]c2ccccc12)-c1ccccc1,1
CHEMBL560741,-9.42554,0.14,CN(C)CCC1=C(Cc2ccc(F)cc2)c2ccccc2C1,0
CHEMBL1774080,-10.97873,0.14,O=C1CCc2ccc(OCCCCN3CCN(CC3)c3cccc4ccccc34)nc2N1,2
CHEMBL4760903,-10.41401,0.14,CCc1ccc2Nc3ccc(Cl)cc3N=C(C3=C[C@H](C)N(C)CC3)c2c1,3
CHEMBL4745489,-10.9163,0.14,C[C@H]1C=C(CCN1C)C1=Nc2cc(Cl)ccc2Nc2ccc(OC(F)(F)F)cc12,0
CHEMBL3976282,-9.4252,0.15,O=C(N[C@H]1CC[C@H](CCN2CCN(CC2)c2nsc3ccccc23)CC1)c1cccs1,1
CHEMBL569510,-9.70622,0.15,Cn1nccc1-c1cc(NC(=O)Nc2ccc(Cl)cc2)ccc1OCCN1CCCC1,2
CHEMBL569519,-9.93046,0.15,Cn1ncc(Cl)c1-c1cc(NC(=O)Nc2ccc(F)cc2F)ccc1OCCN1CCOCC1,3
CHEMBL398711,-11.4151,0.15,FC(F)(F)C(=O)NC1CCc2cc(CCN3CCN(CC3)c3nsc4ccccc34)ccc12,3
CHEMBL610208,-9.5621,0.1585,COc1ccc(NC(=O)Nc2ccc(Cl)cc2)cc1-c1c(Cl)cnn1C,4
CHEMBL1774076,-10.60844,0.16,O=C1CCc2ccc(OCCCCN3CCN(CC3)c3cccc4CCCc34)nc2N1,4
CHEMBL5201619,-10.97531,0.16,[11CH3]N1CCN(CC1)c1cccc2cc(cnc12)S(=O)(=O)c1cccc(F)c1,3
CHEMBL197870,-10.6966,0.17,CC1CC(=O)Nc2c(CCN3CCN(CC3)c3nsc4ccccc34)cc(F)cc12,2
CHEMBL372541,-10.94479,0.17,CC1CC(=O)N(C)c2c(CCN3CCN(CC3)c3nsc4ccccc34)cccc12,2
CHEMBL3923240,-9.53043,0.18,CCOC(=O)N[C@@H]1CC[C@H](CCN2CCN(CC2)c2nsc3ccccc23)CC1,2
CHEMBL194312,-10.51067,0.18,CC1(C)CCNc2c(CCN3CCN(CC3)c3nsc4ccccc34)cccc12,4
CHEMBL438980,-12.40853,0.18,O=C1CC(c2ccccc2)c2cccc(CCN3CCN(CC3)c3nsc4ccccc34)c2N1,1
CHEMBL569518,-10.03751,0.18,Cn1ncc(Br)c1-c1cc(NC(=O)Nc2ccc(F)cc2F)ccc1OCCN1CCCC1,4
CHEMBL90263,-9.68265,0.18,C[C@@H]1CCCCN1CCc1c([nH]c2ccccc12)-c1ccccc1,0
CHEMBL568107,-9.69157,0.19,Cn1nccc1-c1cc(NC(=O)Nc2ccc(Cl)cc2)ccc1OCCN1CCOCC1,0
CHEMBL240876,-11.50837,0.19,Oc1cc(F)ccc1\C=C\c1ccc(cn1)S(=O)(=O)c1ccccc1F,2
CHEMBL330303,-10.71769,0.19,CCN(C)CCc1c([nH]c2ccccc12)-c1cc(cc(c1)C(F)(F)F)C(F)(F)F,0
CHEMBL1774079,-10.5541,0.19,O=C1CCc2ccc(OCCCCN3CCN(CC3)c3cccc4CCCOc34)nc2N1,0
CHEMBL3950977,-9.83319,0.19,O=C(N[C@@H]1CC[C@H](CCN2CCN(CC2)c2nsc3ccccc23)CC1)c1ccco1,1
CHEMBL3589596,-7.90087,0.1995,COc1cccc(CNCCc2cc(OC)c(Br)cc2OC)c1O,4
CHEMBL606178,-9.52169,0.1995,COc1ccc(NC(=O)Nc2ccc(Cl)cc2Cl)cc1-c1c(Br)cnn1C,3
CHEMBL3589582,-8.15662,0.1995,COc1cc(CCNCc2cccc3CCOc23)c(OC)cc1Br,3
CHEMBL1086507,-12.37877,0.2,NC(=O)c1cccc(c1)S(=O)(=O)c1ccc(\C=C\c2ccc(F)cc2F)cc1,3
CHEMBL165780,-11.48105,0.2,Nc1cc(F)ccc1C(=O)CCCN1CC[C@H]2[C@@H](C1)c1cccc3OCCN2c13,3
CHEMBL5205903,-10.61742,0.2,CN1CCC(CC1)N(Cc1ccc(F)cn1)C(=O)NCc1ccc(OCC(F)(F)F)cc1,3
CHEMBL3891773,-9.53484,0.21,N[C@H]1CC[C@H](CCN2CCN(CC2)c2nsc3ccccc23)CC1,0
CHEMBL3918755,-10.49339,0.21,O=C(N[C@H]1CC[C@H](CCN2CCN(CC2)c2nsc3ccccc23)CC1)Nc1ccccc1,4
CHEMBL569509,-9.83137,0.22,Cn1nccc1-c1cc(NC(=O)Nc2ccc(Cl)cc2)ccc1OCCN1CCCOCC1,1
CHEMBL1084976,-11.79343,0.22,C[C@H](O)c1ccccc1S(=O)(=O)c1ccc(\C=C\c2ccc(F)cc2)cc1,1
CHEMBL371289,-10.87413,0.22,CC1CC(=O)Nc2c(CCN3CCN(CC3)c3nsc4ccccc34)cccc12,2
CHEMBL496860,-11.24354,0.23,F[C@@H]1CCNC[C@H]1c1c([nH]c2cc(F)ccc12)-c1ccc2ccccc2c1,2
CHEMBL51,-10.96146,0.23,Fc1ccc(cc1)C(=O)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,4
CHEMBL3946995,-9.83319,0.23,O=C(N[C@H]1CC[C@H](CCN2CCN(CC2)c2nsc3ccccc23)CC1)c1ccco1,1
CHEMBL193639,-9.91298,0.24,CN(C)C[C@H]1CC2[C@H](O1)c1cc(F)ccc1Sc1ccccc21,1
CHEMBL3920252,-10.27862,0.24,O=C(N[C@H]1CC[C@H](CCN2CCN(CC2)c2nsc3ccccc23)CC1)c1ccccc1,2
