identifier,y_sim,y_exp,smiles,fold
CHEMBL297412,-7.77464,40.0,[H]N(C1=NC([H])=C([H])C(=N1)C1=C(N=C(S1)C([H])([H])[H])C([H])([H])[H])C1=C([H])C([H])=C(F)C([H])=C1[H],1
CHEMBL572157,-10.92367,41.0,[H]OC([H])([H])[C@@]([H])(N([H])C(=O)C1=C([H])C(=C([H])N1[H])C1=C(C([H])=NC(=N1)N([H])C1=C([H])C([H])=C([H])C(=C1C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C1=C([H])C(Cl)=C([H])C([H])=C1[H],1
CHEMBL379218,-10.1435,46.0,[H]N([H])[C@]([H])(C([H])([H])OC1=C([H])N=C([H])C(=C1[H])C1=C([H])C([H])=C2N([H])N=C(C2=C1[H])C([H])([H])[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],4
CHEMBL184253,-8.12543,50.0,[H]OC1=C([H])C([H])=C(N([H])C2=NC([H])=C([H])C(=N2)C2=C(N([H])C(C#N)=C2C([H])([H])[H])C([H])([H])[H])C([H])=C1[H],4
CHEMBL186054,-8.44366,50.0,[H]N(C1=NC(=C([H])C([H])=N1)C1=C2C([H])=C([H])C([H])=NN2N=C1[H])C1=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C([H])=C1[H],1
CHEMBL183158,-8.65212,50.0,[H]N(C1=NC([H])=C([H])C(=N1)C1=C(N([H])C(C#N)=C1C([H])([H])[H])C([H])([H])[H])C1=C([H])C(=C(C([H])=C1[H])C([H])([H])[H])[N+]([O-])=O,0
CHEMBL364408,-8.2898,50.0,[H]N(C1=NC([H])=C([H])C(=N1)C1=C(N([H])C([H])=C1C([H])([H])[H])C([H])([H])[H])C1=C([H])C(=C([H])C([H])=C1[H])[N+]([O-])=O,2
CHEMBL187006,-9.99446,50.0,[H]N(C1=NC([H])=C([H])C(=N1)C1=C2C([H])=C([H])C(=NN2N=C1[H])C([H])([H])[H])C1=C([H])C(=C([H])C([H])=C1[H])C(F)(F)F,4
CHEMBL1972158,-10.05168,50.12,[H]N([H])C1=NN([H])C2=C([H])C([H])=C(C([H])=C12)C1=C(N(N=N1)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C1=C([H])C([H])=C([H])C([H])=C1[H],0
CHEMBL1970903,-10.62135,50.12,[H]N([H])[C@@]([H])(C([H])([H])OC1=C([H])N=C([H])C(=C1[H])C1=C([H])C([H])=C2N([H])N=C(C2=C1[H])C([H])([H])[H])C([H])([H])C1=C([H])N([H])C2=C([H])C([H])=C([H])C([H])=C12,3
CHEMBL1966816,-8.79834,50.12,[H]N(C(=O)N([H])C1=C([H])C([H])=NC2=C(F)C([H])=C([H])C([H])=C12)C1=NC(=C([H])C([H])=C1[H])C(F)(F)F,3
CHEMBL2002649,-7.08552,50.12,[H]N1C([H])=NC(\C([H])=C2\C(=O)N([H])C3=C2C([H])=C(OC([H])([H])[H])C([H])=C3[H])=C1[H],4
CHEMBL1992363,-10.32841,50.12,[H]N(C(=O)C1=C([H])C([H])=C(C([H])=C1[H])N(C([H])([H])[H])C([H])([H])[H])C1=NN([H])C2=C([H])C([H])=C(C([H])=C12)C1=C([H])N(N=N1)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],1
CHEMBL1997534,-10.46369,50.12,[H]N(C(=O)C1=C([H])C(=C(S1)C1=C([H])C2=C(N([H])N=C2C([H])([H])[H])C([H])=C1[H])C([H])([H])[H])[C@@]([H])(C1=C([H])C([H])=C([H])C(OC([H])([H])[H])=C1[H])C([H])([H])[H],3
CHEMBL244378,-9.53416,50.12,[H]OC(=O)C1=C(N([H])C2=NC(=NC([H])=C2[H])N([H])C2=C([H])C3=C(C([H])=NN3[H])C([H])=C2[H])C([H])=C([H])C([H])=C1[H],0
CHEMBL385190,-9.61568,51.0,[H]N([H])C1=C(C([H])=NC(=N1)N([H])C1([H])C([H])([H])C([H])([H])N(C([H])([H])C1([H])[H])S(=O)(=O)C([H])([H])C([H])([H])[H])C(=O)C1=C(OC([H])([H])[H])C([H])=C([H])C([H])=C1[H],2
CHEMBL572162,-10.88529,57.0,[H]OC([H])([H])[C@@]([H])(N([H])C(=O)C1=C([H])C(=C([H])N1[H])C1=C(C([H])=NC(=N1)N([H])C1=C(F)C([H])=C([H])C([H])=C1[H])C([H])([H])[H])C1=C([H])C([H])=C([H])C([H])=C1[H],3
CHEMBL47527,-8.22602,60.0,[H]OC1=C([H])C([H])=C([H])C(N([H])C2=NC([H])=C([H])C(=N2)C2=C(N=C(S2)C([H])([H])[H])C([H])([H])[H])=C1[H],3
