identifier,y_sim,y_exp,smiles,fold
CHEMBL233226,-8.07021,420.0,Cc1cc(on1)-c1ccc(cc1F)N1C[C@H](CNc2ccon2)OC1=O,1
CHEMBL294264,-9.60344,422.0,Oc1cc(O)c2C(=O)c3ccccc3C(=O)c2c1O,1
CHEMBL3780057,-4.00434,440.0,CCOC(=O)N1N=C(CC1c1ccccc1)c1ccc(O)c(OC)c1,1
CHEMBL3310013,2.42734,450.0,Cc1ccc(cc1)[C@H]1CC(=NN1C(=O)c1ccco1)c1cc(Br)ccc1O,3
CHEMBL1796458,-6.25688,456.0,NC(=S)N1N=C(CC1c1ccncc1)c1ccccc1,1
CHEMBL1813520,-9.62186,460.0,O=C1NC(=O)c2cc(OCCCc3ccccc3)ccc12,4
CHEMBL1806760,-7.09615,460.0,Cn1c(OCc2ccc(Br)cc2)nc2n(C)c(=O)n(C)c(=O)c12,1
CHEMBL53569,-8.52841,460.0,O=c1ccc2ccc3occc3c2o1,0
CHEMBL1806759,-7.8353,470.0,Cn1c(OCc2ccc(Cl)cc2)nc2n(C)c(=O)n(C)c(=O)c12,0
CHEMBL4574981,-8.41704,490.0,[O-][N+](=O)c1ccc(\C=C\C(=O)c2ccc(Cl)s2)cc1,3
CHEMBL1796454,-6.7251,490.0,Cc1ccc(cc1)C1CC(=NN1C(N)=O)c1ccccc1,3
CHEMBL1645551,-8.30262,500.0,Cc1nccc2c3ccc(OCc4ccccn4)cc3[nH]c12,3
CHEMBL177061,-4.70531,500.0,Fc1cn(C[C@H]2CN(C(=O)O2)c2ccc(C3=CCS(=O)(=O)CC3)c(F)c2)nn1,0
CHEMBL1795981,-8.55439,500.0,NC1CC1c1ccc(NC(=O)OCc2ccccc2)cc1,2
CHEMBL4871159,-8.55439,500.0,Cl.NC1CC1c1ccc(NC(=O)OCc2ccccc2)cc1,2
CHEMBL4790904,14.22371,510.0,COc1cccc(C2CC(=NN2C(=O)Cn2c3cc(Cl)ccc3oc2=O)c2ccc(C)cc2)c1OC,2
CHEMBL3780858,-1.14864,550.0,COc1cc(ccc1O)C1=NN(C(C1)c1ccccc1)C(=S)Nc1ccccc1,0
CHEMBL140711,-9.93656,560.0,COc1ccc(cc1)C(=O)\C=C\c1ccc(C)cc1,4
CHEMBL1642678,-10.07893,577.0,O=C1Nc2ccc(CCCCc3ccccc3)cc2C1=O,4
CHEMBL1806768,-6.74575,580.0,Cn1c(OCCOc2ccc(Br)cc2)nc2n(C)c(=O)n(C)c(=O)c12,3
CHEMBL602259,-8.45379,590.0,Cn1c(OCc2ccccc2)nc2n(C)c(=O)n(C)c(=O)c12,0
CHEMBL7973,-10.39277,600.0,Cc1ccc(\C=C\C(=O)c2ccc(O)cc2)cc1,0
CHEMBL3309739,5.37493,600.0,Cc1ccc(cc1)[C@H]1CC(=NN1C(=O)c1ccncc1)c1cc(Cl)ccc1O,4
